team_id,team_name,season_id,season_name,season_year,last_5_results,points_last_5,wins_last_5,draws_last_5,losses_last_5,goals_for_last_5,goals_against_last_5,halftime_leading_count,halftime_leading_wins,halftime_leading_draws,halftime_leading_losses,halftime_leading_win_pct,conceded_first_count,points_after_conceding_first,points_pct_after_conceding_first
5064,MZKS Arka Gdynia,17361,Ekstraklasa 18/19,18/19,LWWWD,10,3,1,1,8,6,6,2,3,1,33.3,28,30,35.7
35330,Miedź Legnica,17361,Ekstraklasa 18/19,18/19,DDDWW,9,2,3,0,8,9,9,6,2,1,66.7,29,29,33.3
4901,Cracovia,17361,Ekstraklasa 18/19,18/19,DDWWL,8,2,2,1,6,7,8,4,4,0,50.0,25,30,40.0
3110,Górnik Zabrze,17361,Ekstraklasa 18/19,18/19,DDDDW,7,1,4,0,9,3,12,5,4,3,41.7,28,25,29.8
7691,Jagiellonia Białystok,17361,Ekstraklasa 18/19,18/19,LWLWL,6,2,0,3,6,8,13,6,6,1,46.2,28,37,44.0
3121,Lech Poznań,17361,Ekstraklasa 18/19,18/19,LWLLW,6,2,0,3,4,5,14,10,3,1,71.4,27,33,40.7
3111,Wisła Kraków,17361,Ekstraklasa 18/19,18/19,DLWDL,5,1,2,2,9,10,13,6,3,4,46.2,30,24,26.7
7693,Zagłębie Sosnowiec,17361,Ekstraklasa 18/19,18/19,WDLDL,5,1,2,2,4,14,8,3,3,2,37.5,33,33,33.3
7913,KS Lechia Gdańsk,17361,Ekstraklasa 18/19,18/19,WLLLD,4,1,1,3,5,8,18,10,6,2,55.6,19,19,33.3
3117,Pogoń Szczecin,17361,Ekstraklasa 18/19,18/19,DLWLL,4,1,1,3,7,6,17,7,5,5,41.2,27,28,34.6
5065,MKS Korona Kielce,17361,Ekstraklasa 18/19,18/19,DDLLD,3,0,3,2,4,8,9,4,4,1,44.4,29,34,39.1
3106,Legia Warszawa,17361,Ekstraklasa 18/19,18/19,LLLDD,2,0,2,3,6,6,11,7,3,1,63.6,23,20,29.0
3122,Wisła Płock,17361,Ekstraklasa 18/19,18/19,LDLLL,1,0,1,4,5,6,9,5,3,1,55.6,31,35,37.6
3108,Śląsk Wrocław,13350,Ekstraklasa 17/18,17/18,DWWWW,13,4,1,0,12,5,11,7,2,2,63.6,29,33,37.9
3106,Legia Warszawa,13350,Ekstraklasa 17/18,17/18,DWWWW,13,4,1,0,11,3,17,8,8,1,47.1,22,28,42.4
36766,Sandecja Nowy Sącz,13350,Ekstraklasa 17/18,17/18,WDWWL,10,3,1,1,4,6,6,2,2,2,33.3,31,32,34.4
3121,Lech Poznań,13350,Ekstraklasa 17/18,17/18,DWDWD,9,2,3,0,3,10,12,11,1,0,91.7,22,33,50.0
3117,Pogoń Szczecin,13350,Ekstraklasa 17/18,17/18,DLLWW,7,2,1,2,10,6,10,4,3,3,40.0,27,22,27.2
7691,Jagiellonia Białystok,13350,Ekstraklasa 17/18,17/18,WDDLD,6,1,3,1,6,3,10,6,4,0,60.0,23,32,46.4
3111,Wisła Kraków,13350,Ekstraklasa 17/18,17/18,LLWDD,5,1,2,2,8,3,11,5,5,1,45.5,24,29,40.3
7918,Piast Gliwice,13350,Ekstraklasa 17/18,17/18,WLDLD,5,1,2,2,11,8,5,2,2,1,40.0,25,25,33.3
5065,MKS Korona Kielce,13350,Ekstraklasa 17/18,17/18,DLWDL,5,1,2,2,4,14,12,8,3,1,66.7,25,39,52.0
4901,Cracovia,13350,Ekstraklasa 17/18,17/18,DDLLW,5,1,2,2,9,11,11,5,3,3,45.5,29,29,33.3
3110,Górnik Zabrze,13350,Ekstraklasa 17/18,17/18,WLLDD,5,1,2,2,10,6,14,9,2,3,64.3,30,32,35.6
7913,KS Lechia Gdańsk,13350,Ekstraklasa 17/18,17/18,LWDDL,5,1,2,2,5,6,7,3,3,1,42.9,29,27,31.0
5064,MZKS Arka Gdynia,13350,Ekstraklasa 17/18,17/18,DLWLD,5,1,2,2,6,11,8,6,2,0,75.0,24,18,25.0
36851,Bruk-Bet Termalica Nieciecza,13350,Ekstraklasa 17/18,17/18,LWLDL,4,1,1,3,6,10,5,1,2,2,20.0,32,32,33.3
3113,Zagłębie Lubin,13350,Ekstraklasa 17/18,17/18,DDLDD,4,0,4,1,5,8,9,5,3,1,55.6,23,31,44.9
3122,Wisła Płock,13350,Ekstraklasa 17/18,17/18,LWLLD,4,1,1,3,8,8,9,3,6,0,33.3,26,30,38.5
7913,KS Lechia Gdańsk,11734,Ekstraklasa 16/17,16/17,WWWWL,12,4,0,1,8,0,15,12,3,0,80.0,23,37,53.6
3106,Legia Warszawa,11734,Ekstraklasa 16/17,16/17,LDWWW,10,3,1,1,9,0,14,5,7,2,35.7,19,14,24.6
3108,Śląsk Wrocław,11734,Ekstraklasa 16/17,16/17,DWWLW,10,3,1,1,15,3,10,4,4,2,40.0,26,25,32.1
3113,Zagłębie Lubin,11734,Ekstraklasa 16/17,16/17,DDDWW,9,2,3,0,11,6,11,5,5,1,45.5,28,30,35.7
3121,Lech Poznań,11734,Ekstraklasa 16/17,16/17,WWLLW,9,3,0,2,6,5,15,8,7,0,53.3,17,23,45.1
5065,MKS Korona Kielce,11734,Ekstraklasa 16/17,16/17,LDDWW,8,2,2,1,5,6,8,5,3,0,62.5,29,28,32.2
7918,Piast Gliwice,11734,Ekstraklasa 16/17,16/17,DWWDL,8,2,2,1,11,4,9,5,2,2,55.6,28,28,33.3
4901,Cracovia,11734,Ekstraklasa 16/17,16/17,DLWLW,7,2,1,2,3,7,10,9,0,1,90.0,29,32,36.8
3125,Górnik Łęczna,11734,Ekstraklasa 16/17,16/17,WDLWL,7,2,1,2,7,8,8,4,4,0,50.0,27,29,35.8
36851,Bruk-Bet Termalica Nieciecza,11734,Ekstraklasa 16/17,16/17,DDDWL,6,1,3,1,4,12,10,6,4,0,60.0,28,27,32.1
5064,MZKS Arka Gdynia,11734,Ekstraklasa 16/17,16/17,DLLDW,5,1,2,2,6,7,11,5,4,2,45.5,28,17,20.2
3111,Wisła Kraków,11734,Ekstraklasa 16/17,16/17,DLWLL,4,1,1,3,8,9,11,7,2,2,63.6,29,31,35.6
3105,Ruch Chorzów,11734,Ekstraklasa 16/17,16/17,LWLDL,4,1,1,3,3,14,6,3,3,0,50.0,30,27,30.0
7691,Jagiellonia Białystok,11734,Ekstraklasa 16/17,16/17,LDLLW,4,1,1,3,6,7,17,9,8,0,52.9,23,34,49.3
3122,Wisła Płock,11734,Ekstraklasa 16/17,16/17,DLDDL,3,0,3,2,3,10,8,4,3,1,50.0,29,35,40.2
3117,Pogoń Szczecin,11734,Ekstraklasa 16/17,16/17,WLLLL,3,1,0,4,4,11,6,4,2,0,66.7,31,37,39.8
3110,Górnik Zabrze,10361,Ekstraklasa 15/16,15/16,WLWWW,12,4,0,1,3,2,4,3,0,1,75.0,28,25,29.8
3113,Zagłębie Lubin,10361,Ekstraklasa 15/16,15/16,DWDWW,11,3,2,0,13,2,13,7,5,1,53.8,24,33,45.8
3108,Śląsk Wrocław,10361,Ekstraklasa 15/16,15/16,WWWLD,10,3,1,1,9,7,11,6,3,2,54.5,28,41,48.8
5065,MKS Korona Kielce,10361,Ekstraklasa 15/16,15/16,DWWWL,10,3,1,1,6,7,9,2,4,3,22.2,25,27,36.0
3106,Legia Warszawa,10361,Ekstraklasa 15/16,15/16,WLWLW,9,3,0,2,11,4,17,10,5,2,58.8,22,25,37.9
7913,KS Lechia Gdańsk,10361,Ekstraklasa 15/16,15/16,LWWWL,9,3,0,2,4,6,10,8,1,1,80.0,24,30,41.7
7918,Piast Gliwice,10361,Ekstraklasa 15/16,15/16,DDLWW,8,2,2,1,8,6,18,11,5,2,61.1,22,35,53.0
3125,Górnik Łęczna,10361,Ekstraklasa 15/16,15/16,LWLDW,7,2,1,2,10,5,8,6,2,0,75.0,27,36,44.4
3117,Pogoń Szczecin,10361,Ekstraklasa 15/16,15/16,LWDLW,7,2,1,2,6,10,8,3,5,0,37.5,25,32,42.7
4901,Cracovia,10361,Ekstraklasa 15/16,15/16,WLWDL,7,2,1,2,7,7,13,8,4,1,61.5,26,39,50.0
